Scenario_ID,Escenario,CAPACIDAD_BODEGA,STOCK_INICIAL,PUNTO_REORDEN,CANTIDAD_REABASTECIMIENTO,TIEMPO_ENTRE_LLEGADAS,TAMANO_PEDIDO,LEAD_TIME_PROVEEDOR,TIEMPO_SIMULACION,STOCK_INICIAL_RATIO,PUNTO_REORDEN_RATIO,CANTIDAD_REABASTECIMIENTO_RATIO,Demanda_Diaria_Esperada,Cobertura_Inicial_Dias,Cobertura_ROP_Dias,Cobertura_Q_Dias,Brecha_LeadTime_Dias,Categoria_Riesgo,Replicas,Nivel_Servicio_mean,Nivel_Servicio_std,Nivel_Servicio_min,Nivel_Servicio_p05,Nivel_Servicio_p95,Fill_Rate_Unidades_mean,Ventas_Perdidas_mean,Ventas_Perdidas_max,Unidades_Perdidas_mean,Prob_Ruptura,Costo_Total_mean,Costo_Total_std,Costo_Total_p50,Costo_Total_p95,Costo_Total_CVaR95,Inventario_Promedio_mean,Ordenes_Proveedor_mean,Unidades_Vendidas_mean,Total_Solicitudes_mean
SCN-0111,Media demanda / Lento proveedor / Ajustada,8000,2800,1760,1760,1.8,220,3.0,120,0.35,0.22,0.22,122.2222,22.9091,14.4,14.4,11.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48795.1867,1191.0245,48811.8785,49861.1876,49977.7775,2229.3622,8.6667,15300.3333,68.6667
SCN-0081,Media demanda / Rapido proveedor / Ajustada,8000,2800,800,3600,0.9,120,1.0,120,0.35,0.1,0.45,133.3333,21.0,6.0,27.0,5.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48873.1325,893.7889,48554.9925,49749.7191,49882.4665,2437.3963,5.0,17742.6667,147.3333
SCN-0017,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,3600,0.9,120,1.0,120,0.18,0.1,0.45,133.3333,10.8,6.0,27.0,5.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48902.2958,1452.4034,48299.2075,50333.0972,50559.085,2476.0535,4.3333,15196.6667,128.0
SCN-0099,Media demanda / Lento proveedor / Ajustada,8000,2800,1760,1760,0.9,120,3.0,120,0.35,0.22,0.22,133.3333,21.0,13.2,13.2,10.2,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49109.54,495.7506,48829.0105,49596.6525,49681.946,2228.3078,9.0,16211.0,137.6667
SCN-0043,Baja demanda / Lento proveedor / Ajustada,8000,1440,1760,1760,1.8,120,3.0,120,0.18,0.22,0.22,66.6667,21.6,26.4,26.4,23.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49116.6313,573.5557,48850.158,49682.4699,49774.949,2432.4054,5.3333,7592.0,63.0
SCN-0041,Baja demanda / Rapido proveedor / Ajustada,8000,1440,1760,1760,1.8,120,1.0,120,0.18,0.22,0.22,66.6667,21.6,26.4,26.4,25.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49558.027,1100.3567,50023.853,50316.3521,50348.852,2475.446,5.0,7884.6667,67.3333
SCN-0035,Media demanda / Lento proveedor / Ajustada,8000,1440,1760,1760,0.9,120,3.0,120,0.18,0.22,0.22,133.3333,10.8,13.2,13.2,10.2,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49713.1308,549.3779,49582.9055,50242.6194,50315.921,2187.7665,10.3333,17162.0,142.3333
SCN-0141,Media demanda / Rapido proveedor / Ajustada,12000,2160,1200,2640,1.8,220,1.0,120,0.18,0.1,0.22,122.2222,17.6727,9.8182,21.6,8.8182,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49812.0422,1924.8507,50417.571,51266.9428,51361.3175,2452.5209,5.6667,14440.6667,65.6667
SCN-0201,Baja demanda / Rapido proveedor / Ajustada,12000,4200,1200,2640,1.8,120,1.0,120,0.35,0.1,0.22,66.6667,63.0,18.0,39.6,17.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49830.2417,2927.7576,51423.465,51596.6349,51615.876,2620.1986,2.6667,8514.6667,72.0
SCN-0085,Alta demanda / Rapido proveedor / Ajustada,8000,2800,800,3600,0.9,220,1.0,120,0.35,0.1,0.45,244.4444,11.4545,3.2727,14.7273,2.2727,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,49901.892,2764.0919,48575.3485,52628.8216,53079.2075,2327.8829,8.0,28733.0,131.6667
SCN-0129,Media demanda / Rapido proveedor / Ajustada,12000,2160,1200,2640,0.9,120,1.0,120,0.18,0.1,0.22,133.3333,16.2,9.0,19.8,8.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,50428.2975,925.2266,49902.312,51337.1851,51496.6155,2468.2387,6.0,15915.3333,135.6667
